"data","K","metrics","value"
"human_breast_cancer_ffpe",2,"mBIC",11203686.790559
"human_breast_cancer_ffpe",3,"mBIC",11699145.4807634
"human_breast_cancer_ffpe",4,"mBIC",11027689.0061009
"human_breast_cancer_ffpe",5,"mBIC",10696637.9842618
"human_breast_cancer_ffpe",6,"mBIC",11092855.9335966
"human_breast_cancer_ffpe",7,"mBIC",11791486.8932485
"human_breast_cancer_ffpe",8,"mBIC",11819399.2923319
"human_breast_cancer_ffpe",9,"mBIC",11750491.6415916
"human_breast_cancer_ffpe",10,"mBIC",12214508.4427724
"mouse_visual_cortex",2,"mBIC",1050925.10218693
"mouse_visual_cortex",3,"mBIC",1055252.7147038
"mouse_visual_cortex",4,"mBIC",1045110.23504811
"mouse_visual_cortex",5,"mBIC",1028486.98759839
"mouse_visual_cortex",6,"mBIC",1008141.14593287
"mouse_visual_cortex",7,"mBIC",1006668.54517818
"mouse_visual_cortex",8,"mBIC",1013978.59329354
"mouse_visual_cortex",9,"mBIC",1012719.49663139
"mouse_visual_cortex",10,"mBIC",1009094.10252605
"mouse_olfactory_bulb",2,"mBIC",1119908.66747153
"mouse_olfactory_bulb",3,"mBIC",1112887.25230784
"mouse_olfactory_bulb",4,"mBIC",1172195.32844141
"mouse_olfactory_bulb",5,"mBIC",1174213.52197787
"mouse_olfactory_bulb",6,"mBIC",1181051.51185499
"mouse_olfactory_bulb",7,"mBIC",1153068.65896334
"mouse_olfactory_bulb",8,"mBIC",1160450.59166359
"mouse_olfactory_bulb",9,"mBIC",1151287.05100601
"mouse_olfactory_bulb",10,"mBIC",1155046.40704253
